,Incident,Location,Reported Date,Occured Date,Comments,Disposition,UCPDI#
2239,Theft,1215 E. Hyde Park (Max Mason),3/17/13 4:15 PM,3/15/13 to 3/17/13 7:15 PM to 4:15 PM,Bicycle taken from common area - 1st floor lounge,Open,C00278
2240,Lost Property,950 E. 58th St. (Mitchell ER),3/16/13 2:32 PM,3/16/13 2:30 PM to 3:10 PM,Report of a lost key,Closed,C00275
2241,Traffic Violation,5200 S. Woodlawn,3/16/13 5:43 PM,3/16/13 5:43 PM,UCPD officers arrested a motorist for driving without a driver's license / Also charged with an active arrest warrant,Arrest,C00276
2242,Theft,5530 S. Ellis (Ratner A.C.),3/15/13 8:42 AM,3/14/13 10:45 PM to 11:00 PM,Cell phone and debit card taken from unsecured locker,Open,C00272
2243,Information,53rd &amp; Woodlawn,3/15/13 6:29 PM,3/15/13 6:29 PM,Pedestrian in cross walk struck by motor vehicle / Pedestrian declined medical attention / CPD case HW192747,CPD Case,C00273
2244,Traffic Violation,5500 S. Blackstone,3/14/13 7:28 AM,3/14/13 7:28 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00269
2245,Theft,5760 S. University (Reynolds Club),3/14/13 8:33 AM,3/13/13 to 3/14/13 8:30 PM to 8:15 AM,"Unattended laptop computer taken from a secured, shared office",Open,C00270
2246,Theft,5706 S. University (Reynolds Club),3/13/13 2:06 PM,1/22/13 to 3/9/13 12:00 AM to 10:15 PM,Cash box taken from desk drawer in office / No signs of forced entry,Open,C00266
2247,Assist Other Agency,5200 S. Lake Park (McDonalds),3/13/13 4:00 PM,3/13/13 4:00 PM,UCPD officers detained a suspect accused of assaulting a security officer / CPD case HW190731,CPD Case,C00267
2248,Traffic Violation,5600 S. Kenwood,3/12/13 2:11 PM,3/12/13 2:11 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00263
2249,Theft,5758 S. Maryland (DCAM),3/12/13 5:29 PM,3/11/13 to 3/12/13 6:00 PM to 4:00 PM,Laptop computer taken from unsecured room,Open,C00264
2250,Traffic Violation,5500 S. Cottage Grove,3/11/13 12:51 AM,3/11/13 12:51 AM,UCPD officer arrested a motorist for driving an uninsured vehicle with a suspended driver's license,Arrest,C00259
2251,Theft,1155 E. 60th St. (Office Bldg.),3/11/13 9:12 AM,3/11/13 8:55 AM to 9:05 AM,Unattended cell phone taken from desk in unsecured office,Open,C00260
2252,Traffic Violation,6200 S. Stony Island,3/11/13 1:18 PM,3/11/13 1:18 PM,UCPD officer arrested a motorist for driving an uninsured vehicle with a suspended driver's license,Arrest,C00261
2253,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1362891600,,,,,,
2254,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1362805200,,,,,,
2255,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1362718800,,,,,,
2256,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1362632400,,,,,,
2257,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1362546000,,,,,,
2258,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1362459600,,,,,,
2259,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1362373200,,,,,,
2260,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1362286800,,,,,,
2261,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1362200400,,,,,,
2262,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1362114000,,,,,,
2263,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1362027600,,,,,,
2264,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1361941200,,,,,,
2265,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1361854800,,,,,,
2266,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1361768400,,,,,,
2267,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1361682000,,,,,,
2268,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1361595600,,,,,,
2269,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1361509200,,,,,,
2270,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1361422800,,,,,,
2271,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1361336400,,,,,,
2272,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1361250000,,,,,,
2273,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1361163600,,,,,,
2274,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1361077200,,,,,,
2275,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1360990800,,,,,,
2276,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1360904400,,,,,,
2277,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1360818000,,,,,,
2278,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1360731600,,,,,,
2279,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1360645200,,,,,,
2280,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1360558800,,,,,,
2281,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1360472400,,,,,,
2282,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1360386000,,,,,,
2283,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1360299600,,,,,,
2284,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1360213200,,,,,,
2285,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1360126800,,,,,,
2286,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1360040400,,,,,,
2287,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1359954000,,,,,,
2288,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1359867600,,,,,,
2289,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1359781200,,,,,,
2290,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1359694800,,,,,,
2291,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1359608400,,,,,,
2292,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1359522000,,,,,,
2293,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1359435600,,,,,,
2294,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1359349200,,,,,,
2295,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1359262800,,,,,,
2296,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1359176400,,,,,,
2297,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1359090000,,,,,,
2298,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1359003600,,,,,,
2299,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1358917200,,,,,,
2300,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1358830800,,,,,,
2301,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1358744400,,,,,,
2302,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1358658000,,,,,,
2303,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1358571600,,,,,,
2304,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1358485200,,,,,,
2305,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1358398800,,,,,,
2306,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1358312400,,,,,,
2307,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1358226000,,,,,,
2308,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1358139600,,,,,,
2309,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1358053200,,,,,,
2310,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1357966800,,,,,,
2311,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1357880400,,,,,,
2312,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1357794000,,,,,,
2313,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1357707600,,,,,,
2314,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1357621200,,,,,,
2315,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1357534800,,,,,,
2316,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1357448400,,,,,,
2317,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1357362000,,,,,,
2318,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1357275600,,,,,,
2319,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1357189200,,,,,,
2320,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1357102800,,,,,,
2321,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1357016400,,,,,,
2322,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1356930000,,,,,,
2323,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1356843600,,,,,,
2324,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1356757200,,,,,,
2325,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1356670800,,,,,,
2326,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1356584400,,,,,,
2327,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1356498000,,,,,,
2328,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1356411600,,,,,,
2329,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1356325200,,,,,,
2330,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1356238800,,,,,,
2331,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1356152400,,,,,,
2332,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1356066000,,,,,,
2333,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1355979600,,,,,,
2334,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1355893200,,,,,,
2335,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1355806800,,,,,,
2336,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1355720400,,,,,,
2337,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1355634000,,,,,,
2338,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1355547600,,,,,,
2339,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1355461200,,,,,,
2340,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1355374800,,,,,,
2341,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1355288400,,,,,,
2342,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1355202000,,,,,,
2343,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1355115600,,,,,,
2344,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1355029200,,,,,,
2345,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1354942800,,,,,,
2346,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1354856400,,,,,,
2347,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1354770000,,,,,,
2348,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1354683600,,,,,,
2349,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1354597200,,,,,,
2350,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1354510800,,,,,,
2351,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1354424400,,,,,,
2352,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1354338000,,,,,,
2353,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1354251600,,,,,,
2354,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1354165200,,,,,,
2355,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1354078800,,,,,,
2356,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1353992400,,,,,,
2357,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1353906000,,,,,,
2358,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1353819600,,,,,,
2359,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1353733200,,,,,,
2360,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1353646800,,,,,,
2361,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1353560400,,,,,,
2362,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1353474000,,,,,,
2363,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1353387600,,,,,,
2364,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1353301200,,,,,,
2365,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1353214800,,,,,,
2366,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1353128400,,,,,,
2367,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1353042000,,,,,,
2368,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1352955600,,,,,,
2369,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1352869200,,,,,,
2370,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1352782800,,,,,,
2371,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1352696400,,,,,,
2372,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1352610000,,,,,,
2373,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1352523600,,,,,,
2374,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1352437200,,,,,,
2375,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1352350800,,,,,,
2376,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1352264400,,,,,,
2377,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1352178000,,,,,,
2378,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1352091600,,,,,,
2379,Traffic Violation,5500 S. Blackstone,11/4/12 12:20 AM,11/4/12 12:20 AM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,B01370
2380,Warrant Arrest,804 E. 63rd St.,11/4/12 1:00 AM,11/4/12 1:00 AM,UCPD officer arrested a woman wanted on a warrant,Arrest,B01371
2381,Traffic Violation,1155 E. 61st St.,11/4/12 10:47 AM,11/4/12 10:47 AM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,B01372
2382,Traffic Violation,5300 S. University,11/4/12 12:51 PM,11/4/12 12:51 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B01373
2383,Warrant Arrest,5401 S. Ellis,11/3/12 12:06 AM,11/3/12 12:06 AM,UCPD officer arrested a woman wanted on a warrant  from Will County,Arrest,B01360
2384,Void,Void,Void,Void,Report generated in error,Void,B01361
2385,Liquor Law Violation,1101 E. 56th St. (Max Palevsky),11/3/12 1:13 AM,11/3/12 1:13 AM,Underage person became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,B01362
2386,Liquor Law Violation,6031 S. Ellis (SCRH),11/3/12 3:33 AM,11/3/12 3:33 AM,Underage person became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,B01363
2387,Aggravated Battery,Woodlawn between 53rd &amp; 54th,11/2/12 1:11 AM,11/2/12 1:10 AM,Victim walking on the sidewalk cut on the leg by an unknown assailant,Open,B01349
2388,Robbery,Woodlawn between 53rd &amp; 54th,11/2/12 8:43 AM,11/2/12 8:40 AM,Two unknown males forcibly took a cell phone from a victim walking on the sidewalk,Open,B01350
2389,Information,6031 S. Ellis (SCRH),11/2/12 10:17 AM,11/2/12 10:10 AM,Sick person removed to ER by CFD EMS,Closed,B01351
2390,Traffic Accident,1365 E. 56th St.,11/2/12 10:49 AM,11/2/12 10:00 AM,Traffic Accident Report,Closed,B01352
2391,Theft,5758 S. Maryland (DCAM),11/1/12 11:41 AM,10/26/12 to 11/1/12 3:00 PM to 10:00 AM,Unknown person took laptop computer from an unsecured cabinet in the 2nd floor hallway,Open,B01343
2392,Theft by Deception,969 E. 60th St. (SSA),11/1/12 2:21 PM,3/1/12 to 8/9/12 8:00 AM to 5:00 PM,Theft involving fraudulent checks,Open,B01344
2393,Battery / Domestic,1005 E. 60th St. (Burton-Judson),11/1/12 5:20 PM,10/1/10 8:00 AM to 9:00 AM,Report of domestic battery that occurred in 2010 / Declined prosecution,Ex. Cleared,B01345
2394,Lost Property,5706 S. University (Hutchinson Commons),11/1/12 6:39 PM,11/1/12 6:39 PM,Man reports losing his cell phone in Hutchinson Commons dining area,Closed,B01347
2395,Theft,5815 S. Maryland (Mitchell Hospital),10/31/12 10:14 AM,10/28/12 to 10/30/12 12:00 PM to 11:00 PM,Unknown person took patient's wallet from drawer in bedside table / Subsequent unauthorized use of credit card reported,Open,B01337
2396,Void,Void,Void,Void,Report generated in error,Void,B01338
2397,Traffic Violation,5900 S. University,10/31/12 7:39 PM,10/31/12 7:39 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B01339
2398,Theft,1442 E. 59th St. (Breckenridge Hall),10/31/12 8:22 PM,10/31/12 7:30 PM to 8:15 PM,Unattended purse placed on couch taken by unknown person,Open,B01340
2399,Assist Other Agency,1554 E. 55th St.,10/29/12 10:02 PM,10/29/12 10:02 PM,UCPD officer assisted a security officer in the arrest of a male wanted for shoplifting,Arrest,B01328
